gene name	list of shared diseases
CAV1	"Hepatomegaly;Iatrogenic Disease;""Phobia, Specific"";Intervertebral disc disease;Thrombocytopenia;Glossitis;"
WNT3	"Eye Infections;Sprains and Strains;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Anisometropia;Psoriasis;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Hallux Rigidus;Upper Extremity Deep Vein Thrombosis;Umbilical cord ulceration and intestinal atresia;Chronic Disease;Testicular Diseases;Leg Length Inequality;""Glaucoma 1, Open Angle, A"";""Diabetes Mellitus, Type 4"";Salivary Gland Diseases;"
HHIPL1	"Testicular Diseases;Pruritus;""Renal Failure, Progressive, with Hypertension"";""Hernia, Femoral"";"
EYA4	Adrenal Gland Diseases;Hypertrophy;Heart Diseases;Nervous System Diseases;Iron-Refractory Iron Deficiency Anemia;
ZMIZ1	"Nail Diseases;Autonomic Nervous System Diseases;Erythema;""Leukemia, Lymphoid"";Kyphosis;Muscular Dystrophies;Bursitis;Apnea;Parkinson Disease;""Diabetes Mellitus, Type 1"";Eye Neoplasms;Spondylolisthesis;""Pneumonia, Pneumococcal"";""Diabetes Mellitus, Type 4"";Digestive System Neoplasms;Chronic Disease;Tonsillitis;Knee Dislocation;""Menopause, Premature"";Anxiety Disorders;Raynaud Disease;Heart Valve Diseases;""Cystic Fibrosis with Helicobacter Pylori Gastritis, Megaloblastic Anemia, and Subnormal Mentality"";Peripheral Vascular Diseases;Cystitis;Mental Disorders;Psoriasis;""Rheumatoid Arthritis, Systemic Juvenile"";""Laryngeal Atresia, Encephalocele, and Limb Deformities"";Temporomandibular Joint Disorders;""Renal Failure, Progressive, with Hypertension"";Breast Diseases;Endometrial Hyperplasia;"
BRSK1	"Glaucoma, Primary Open Angle;Glaucoma;""Glaucoma 1, Open Angle, A"";Candidiasis;Stillbirth;""Intestinal polyposis, osteomas, sebaceous cysts"";Spermatocele;Urinary Bladder Neoplasms;Nail Diseases;Melanoma;"
BET1L	"Mood Disorders;""Depression, Postpartum"";Anxiety Disorders;Personality Disorders;Mycoses;Sciatica;Dysthymic Disorder;Muscle Weakness;Ankylosis;Delirium;Nephrotic Syndrome;Adjustment Disorders;Labyrinthitis;Bacteremia;""Diabetes Mellitus, Type 1"";Irritable Bowel Syndrome;Colles' Fracture;Hypercalcemia;"
SLC22A1	"Diabetes Mellitus, Type 6;Pulmonary Heart Disease;Duodenitis;""Diabetes Mellitus, Type 4"";Trigeminal Nerve Diseases;Hyperlipidemias;Diplopia;Pulmonary Embolism;Mouth Neoplasms;Glaucoma;Spondylolisthesis;Periostitis;Essential Tremor;""Foot Deformities, Acquired"";"
PRRX2	"Peptic Ulcer;Hepatitis C;Myelodysplastic-Myeloproliferative Diseases;""Hepatitis, Viral, Human"";Sciatica;Pulmonary Embolism;Scoliosis;Fasciitis;Crohn Disease;Spinal Curvatures;Barrett Esophagus;""Acromegaloid features, overgrowth, cleft palate, and hernia"";"
POU2F1	"Osteoporosis;Gastroparesis;Chronic Disease;Liver Abscess;Retinal Hemorrhage;""Keratosis, Actinic"";Liver Diseases;"
SLC28A1	Dislocations;Pulmonary Embolism;Dyspareunia;Knee Dislocation;Pulmonary Heart Disease;Cholelithiasis;Chronic Disease;Hypercalcemia;Hallux Rigidus;Peptic Ulcer;
DAP	"Sexual and Gender Disorders;""Spondylitis, Ankylosing"";Bone Neoplasms;"
CRYGC	"Menopause, Premature;Iron-Refractory Iron Deficiency Anemia;Spermatocele;Optic Nerve Diseases;""Corneal Dystrophy, Fuchs Endothelial, 3"";Herpes Zoster;Optic Atrophy;Intervertebral Disc Displacement;Chronic Disease;Hyperhidrosis;"
FOXP4	Cardiac Conduction Defect;Corneal Edema;Trigeminal Nerve Diseases;Pharyngitis;Sexual and Gender Disorders;Delirium;Uveitis;
SP8	"Dysthymic Disorder;Hallux Rigidus;Urethral Stricture;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;""Gastritis, Atrophic"";""Corneal Dystrophy, Fuchs Endothelial, 3"";Bundle-Branch Block;Atrial Fibrillation;"
SLFN14	Alcoholism;Tuberculosis;Alcohol-Related Disorders;Thrombocytopenia;Cholesteatoma;
BMP6	"Gastroenteritis;Diverticulosis;Chronic Disease;""Cystic Fibrosis with Helicobacter Pylori Gastritis, Megaloblastic Anemia, and Subnormal Mentality"";""Gastritis, Atrophic"";""Pulmonary Hypertension, Primary, Autosomal Recessive"";Exophthalmos;Tongue Diseases;"
CDKN2B	"Basal Ganglia Cerebrovascular Disease;""Lower Extremity Deformities, Congenital"";""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Myocardial Infarction;""Glaucoma 1, Open Angle, A"";Aphasia;Hypotension;Chronic Disease;Mild Cognitive Impairment;Heart Diseases;Wandering Spleen;Muscle Weakness;Movement Disorders;""Glaucoma, Primary Open Angle"";"
TOMM40	"Delirium;Mental Disorders;Presenile And Senile Dementia;Memory Disorders;Alzheimer Disease;Schizophrenia;Respiratory System Abnormalities;Optic Atrophy;Mild Cognitive Impairment;Chronic Disease;Dry Eye Syndromes;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Sebaceous Gland Diseases;Macular Degeneration;Dyspepsia;Epistaxis;Osteomyelitis;""Insomnia, Fatal Familial"";Conduct Disorder;Intervertebral disc disease;""Pneumonia, Bacterial"";""Prostate cancer, familial"";""Keratosis, Seborrheic"";Stomach Diseases;""Intestinal polyposis, osteomas, sebaceous cysts"";Schizoid Personality Disorder;Asthma;Diabetes mellitus;Glaucoma;""Glaucoma 1, Open Angle, A"";Digestive System Neoplasms;Retinal Diseases;Retinal Drusen;Pneumothorax;""Diabetes Mellitus, Type 3"";"
NR3C2	Amblyopia;Duodenitis;
TBX5	Stillbirth;Mastodynia;Alopecia;Airway Obstruction;Prostatitis;Glycosuria;Gout;Keratoconjunctivitis Sicca;Gastroenteritis;Apnea;
NFIA	Heart Valve Diseases;Iron-Refractory Iron Deficiency Anemia;Scleritis;Hypercalcemia;Conduct Disorder;Emphysema;Feeding and Eating Disorders;Gastrointestinal Diseases;Respiratory Tract Neoplasms;
MUC7	"Cellulitis;Endometrial Hyperplasia;""Intestinal polyposis, osteomas, sebaceous cysts"";Lipoma;"
ZGPAT	"Rhabdomyolysis;""Prader-Willi habitus, osteopenia, and camptodactyly"";Skin Neoplasms;Osteoporosis;Gingivitis;Cavernous Malformations of CNS and Retina;Subarachnoid Hemorrhage;Esophageal Atresia;"
H2AFY	Warts;Trigeminal Nerve Diseases;Feeding and Eating Disorders;Obsessive-Compulsive Disorder;Prurigo;Chronic Disease;Gynecomastia;Fever of Unknown Origin;Delirium;Asthma;Thrombocytopenia;Airway Obstruction;Tonsillitis;Urinary Bladder Neck Obstruction;
TFEB	"Sleep Apnea Syndromes;Hodgkin Disease;""Amino Acid Transport Disorders, Inborn"";Tonsillitis;"
C11orf10	"Inflammatory Bowel Disease;Jaundice;Crohn Disease;Bipolar Disorder;Hypocalcemia;""Lower Extremity Deformities, Congenital"";Kidney Neoplasms;"
AGXT2	"Glaucoma 1, Open Angle, A;Glaucoma;Duodenal Ulcer;Umbilical cord ulceration and intestinal atresia;Chronic Disease;Gastroparesis;Bacteremia;Prostatitis;Retinal Hemorrhage;"
SLCO5A1	Torticollis;Jaundice;Mink Viral Enteritis;Gynecomastia;Acidosis;Endometriosis;
SLCO6A1	"Colonic Neoplasms;Polycythemia Vera;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";Leg Length Inequality;Periostitis;"
TTC4P1	Ventricular Flutter;Prostatitis;
SLCO3A1	"Sleep Apnea Syndromes;Periapical Abscess;Anisometropia;""Genital Diseases, Male"";Glossitis;Hematuria;Atrophic Vaginitis;Hypercalcemia;Intracranial Hemorrhages;""Prader-Willi habitus, osteopenia, and camptodactyly"";Hypothyroidism;Cavernous Malformations of CNS and Retina;Periapical Diseases;Heart Valve Diseases;Hyperlipidemias;Kyphosis;Lymphadenitis;Sleep disorders;"
SLC24A2	"Bipolar Disorder;Thrombocytopenia;Mood Disorders;Purpura;Iatrogenic Disease;""Depression, Postpartum"";"
C8orf80	"Mastoiditis;Exophthalmos;Periodontitis;Intracranial Hemorrhages;Cerebrovascular Disorders;Odontoma dysphagia syndrome;""Parathyroid Glands, Agenesis Of"";Hemiplegia;Anxiety Disorders;""Conjunctivitis, Allergic"";Speech Disorders;Chronic Disease;Presenile And Senile Dementia;""Influenza, Human"";Hyperparathyroidism;Aphasia;"
HOMER1	Wandering Spleen;Back Pain;Epilepsy;Muscle Weakness;
PCSK2	"Respiratory System Abnormalities;Chronic Disease;Acidosis;Hypothyroidism;Familial Acute Myeloid Leukemia with Mutated Cebpa;Alcohol-Related Disorders;Adenocarcinoma in Situ;Emphysema;Tympanic Membrane Perforation;Myoclonus;Epilepsy;Gangrene;""Lupus Erythematosus, Discoid"";Migraine Disorders;Orbital Cellulitis;"
ARSB	"Polydipsia, Psychogenic;Hyperventilation;""Arthrogryposis multiplex with deafness, inguinal hernias, and early death"";Cellulitis;""Aplastic anemia, idiopathic"";"
PCSK5	"Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease;""Aplastic anemia, idiopathic"";Prostatitis;Cholecystitis;Chronic Disease;Bile Duct Diseases;""Goiter, Multinodular "";Peripheral Vascular Diseases;Otitis Media;""Arthropathy, Neurogenic"";Diverticulitis;Peripheral Arterial Disease;Chondrocalcinosis;Digestive System Diseases;""Genital Neoplasms, Female"";Cholesteatoma;Dental Caries;Atrophic Vaginitis;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";""Intestinal polyposis, osteomas, sebaceous cysts"";Myocardial Infarction;"
LOC650157	"Chronic Disease;""Menopause, Premature"";Meniere Disease;Failure to Thrive;Digestive System Neoplasms;Spermatocele;"
IL1F10	Polymyalgia Rheumatica;Ventricular Flutter;
KCTD2	Eye Neoplasms;Jaw Diseases;Bundle-Branch Block;Cellulitis;Failure to Thrive;Asthma;Fever of Unknown Origin;
NFKB1	Temporomandibular Joint Disorders;Tuberculosis;Polyarteritis Nodosa;Alkalosis;
GDAP1	"Prurigo;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";"
DKK1	Ovarian Cysts;Biliary cirrhosis;Uveitis;Anxiety Disorders;Iron-Refractory Iron Deficiency Anemia;Cardiomyopathies;
C2orf43	"Lip Diseases;""Child Development Disorders, Pervasive"";"
ASAH1	"Otitis Externa;Bursitis;Neck Pain;Speech Disorders;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";"
PLXNA1	"Dysthymic Disorder;Psoriasis;Spinal Stenosis;Contracture;Vitamin B Deficiency;Genu Varum;Bundle-Branch Block;Muscle Weakness;Alzheimer Disease;Hammer Toe Syndrome;Paranoid Disorders;""Tachycardia, Sinoatrial Nodal Reentry"";Schizophrenia;Cystitis;Pityriasis;Pulmonary Embolism;Candidiasis;Schizoid Personality Disorder;Esophagitis;Conduct Disorder;"
PITX1	Bundle-Branch Block;Arthralgia;
LINGO2	"Iatrogenic Disease;""Acne, Adult"";""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Ovarian Cysts;"
IL6R	"Vitamin B 12 Deficiency;Constipation;Somatoform Disorders;Tongue Diseases;Urinary Bladder Neoplasms;Iron-Refractory Iron Deficiency Anemia;""Muscular Dystrophy, Pseudohypertrophic, With Internalized Capillaries"";"
DYNC1H1	"Urinary Bladder Neck Obstruction;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";Uterine Neoplasms;Insect Bites and Stings;Overweight;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Multiple Myeloma;Skin Neoplasms;"
C1orf81	Bronchiectasis;Hypercalcemia;Stomach Neoplasms;Cholesteatoma;Muscle Weakness;
ATOH7	"Crohn Disease;Erythema;Esophageal Atresia;Intracranial Hemorrhages;Keratoconjunctivitis Sicca;Heartburn;Melanoma;Cellulitis;Bronchiectasis;""Diabetes Mellitus, Type 1"";Optic Nerve Diseases;""Reflex, Abnormal"";Inflammatory Bowel Disease;Sunburn;Sepsis;"
MYO18B	Digestive System Neoplasms;Hypotension;Urethritis;Dysmenorrhea;Polymyalgia Rheumatica;Endocrine Gland Neoplasms;
CCHCR1	"Psoriasis;""Liver Diseases, Alcoholic"";Uveitis;Bundle-Branch Block;Prostatitis;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Chronic Disease;Sarcoidosis;Spondylosis;Schizophrenia;Mental Disorders;Alcoholism;Tauopathy and Respiratory Failure;Skin Neoplasms;Hematuria;Celiac Disease;Delirium;""Prostate cancer, familial"";Hemorrhagic Septicemia;Cystitis;Urethritis;Water-Electrolyte Imbalance;""Glaucoma 1, Open Angle, A"";Hydronephrosis;Thyrotoxicosis;Failure to Thrive;Odontoma dysphagia syndrome;Hypotension;""Lower Extremity Deformities, Congenital"";Hyperthyroidism;Memory Disorders;Incisional Hernia;Keratoconjunctivitis Sicca;Spondylolisthesis;"
LAMC2	"Graves Disease;""Choreoathetosis, Hypothyroidism, And Neonatal Respiratory Distress"";""Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"";Sclerosis;Optic Atrophy;""Amino Acid Transport Disorders, Inborn"";Keratitis;"
BAZ1B	Atrophic Vaginitis;Epilepsy;Postoperative Nausea and Vomiting;
GRM7	Otitis Externa;Biliary cirrhosis;Sleep disorders;Nasal Polyps;Cerebrospinal Fluid Otorrhea;Spondylosis;Sepsis;
PLCL2	Periapical Diseases;Periapical Abscess;Hematuria;
HMG20A	"Reflex, Abnormal;Feeding and Eating Disorders;Cerebrospinal Fluid Otorrhea;Scoliosis;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;Airway Obstruction;Polymyalgia Rheumatica;Spinal Curvatures;Sexual and Gender Disorders;Sinusitis;"
HMGB1	Retinal Drusen;Stomach Neoplasms;Sleep Apnea Syndromes;Behcet Syndrome;Retinal Detachment;Retinal Diseases;
PLCL1	"Hyperthyroidism;Obsessive-Compulsive Disorder;""Diabetes Mellitus, Type 5"";Glaucoma;Blindness;""Child Development Disorders, Pervasive"";Barrett Esophagus;Astigmatism;"
HLA-DQA2	"Multiple Sclerosis;""Lupus Erythematosus, Discoid"";""Diabetes Mellitus, Type 2"";""Diabetes Mellitus, Type 3"";Rosacea;Celiac Disease;Chronic Disease;""Diabetes Mellitus, Type 4"";""Diabetes Mellitus, Type 1"";""Lupus Erythematosus, Systemic"";""Rheumatoid Arthritis, Systemic Juvenile"";Keratitis;Tongue Diseases;Lymphadenitis;""Genital Diseases, Male"";Eosinophilia;Colonic Neoplasms;Asthma;Sinusitis;Erythema;""Adrenocortical Hypofunction, Chronic Primary Congenital"";Sunburn;Diaphragmatic Hernia;""Acromegaloid features, overgrowth, cleft palate, and hernia"";Thyroiditis;Accessory pancreas;"
SLCO1A2	Hammer Toe Syndrome;Overweight;Obesity;Presenile And Senile Dementia;Failure to Thrive;Renal Osteodystrophy;Thrombocytopenia;
SLC9A9	"Sepsis;Diverticulosis;Essential Tremor;Chronic Disease;Neoplastic Processes;""Tooth Eruption, Ectopic"";Thyroiditis;Duodenal Ulcer;Aortic Aneurysm;Adenocarcinoma in Situ;Out-of-Hospital Cardiac Arrest;""Genital Neoplasms, Female"";Myasthenia Gravis;Diabetes mellitus;Atrial Flutter;Skin Neoplasms;Atrial Fibrillation;Asthma;Hypotension;""Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"";"
EXOC4	"Arthrogryposis multiplex with deafness, inguinal hernias, and early death;Chronic Disease;""Acromegaloid features, overgrowth, cleft palate, and hernia"";Thyroiditis;Prurigo;"
EXOC3	"Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;Chronic Disease;""Child Development Disorders, Pervasive"";Restless Legs Syndrome;Asthma;"
EXOC2	"Skin Neoplasms;""Keratosis, Actinic"";Adenocarcinoma in Situ;""Prader-Willi habitus, osteopenia, and camptodactyly"";Melanoma;Warts;Hypercalcemia;Hypertensive Retinopathy;Gout;Failure to Thrive;Rosacea;""Dermatitis, Seborrheic"";Herpes Simplex;""Cystic Fibrosis with Helicobacter Pylori Gastritis, Megaloblastic Anemia, and Subnormal Mentality"";Rhabdomyolysis;"
PLCE1	"Hematuria;""Pulmonary Hypertension, Primary, Autosomal Recessive"";Colonic Neoplasms;Chronic Disease;Testicular Diseases;Cardiomyopathies;"
SLC2A9	"Gout;Tinnitus;Dupuytren Contracture;Corneal Edema;Meningitis;Muscular Dystrophies;Keratitis;Hirsutism;Pleurisy;Mild Cognitive Impairment;Gastroenteritis;Subarachnoid Hemorrhage;""Hernia, Femoral"";"
SGCG	Adjustment Disorders;Hodgkin Disease;
ZNF492	Pruritus;Nephrotic Syndrome;Kidney Neoplasms;Diverticulosis;Diverticulitis;Graves Disease;
RNF5P1	"Kidney Neoplasms;Chronic Disease;Digestive System Neoplasms;""Carcinoma, Renal Cell"";Adjustment Disorders;Tricuspid Valve Insufficiency;"
PDZRN4	"Aphasia;Meningitis;Iatrogenic Disease;Tongue Diseases;""Conjunctivitis, Allergic"";"
ZNF462	"Urinary Bladder Neoplasms;Gastrointestinal Hemorrhage;Glaucoma;""Diabetes Mellitus, Type 1"";Peptic Ulcer;Respiratory Tract Neoplasms;Colonic Neoplasms;Thyrotoxicosis;Skin Neoplasms;Subarachnoid Hemorrhage;"
C2CD4B	"Diabetes Mellitus, Type 2;Diabetes mellitus;Labyrinthitis;Hypertensive Retinopathy;"
UBXN4	Vitamin B Deficiency;Celiac Disease;Water-Electrolyte Imbalance;Hypertension;Skin Neoplasms;
LEPR	Upper Extremity Deep Vein Thrombosis;Corneal Edema;Sarcoidosis;Respiratory Tract Neoplasms;
CAMK4	"Skin Neoplasms;Diverticulosis;""Acromegaloid features, overgrowth, cleft palate, and hernia"";Esophageal Motility Disorders;"
SRR	"Thyroid cancer;Endometriosis;Muscular Dystrophies;Pruritus;Chronic Disease;""Muscular Dystrophy, Pseudohypertrophic, With Internalized Capillaries"";"
DLG2	"Diabetes Mellitus, Type 5;Hematuria;Sunburn;""Diabetes Mellitus, Type 7"";Vitamin B Deficiency;Subarachnoid Hemorrhage;Pneumonia;Chronic Disease;""Diabetes Mellitus, Type 6"";""Keratosis, Actinic"";Glucose Intolerance;Brain Neoplasms;Genu Varum;Skin Neoplasms;Carbuncle;Pancreatitis;""Foot Deformities, Acquired"";Muscle Weakness;Dysmenorrhea;Accessory pancreas;Hemorrhagic Disorders;Adrenal Gland Diseases;Labyrinthitis;Emphysema;Enteritis;Multiple Myeloma;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Gastrointestinal Hemorrhage;"
MFHAS1	"Prostatitis;""Diabetes Mellitus, Type 3"";""Intestinal polyposis, osteomas, sebaceous cysts"";Kidney Neoplasms;Sebaceous Gland Diseases;Endometrial Hyperplasia;""Hernia, Femoral"";"
CCDC38	Enteritis;Respiratory System Abnormalities;Periostitis;Gingivitis;
RAB38	Varicose Veins;Paraproteinemias;Corneal Diseases;Uterine Prolapse;
CHEK2	"Spondylosis;Sweat Gland Diseases;Osteoarthritis;Glaucoma;""Granuloma, Pyogenic"";""Glaucoma 1, Open Angle, A"";Hidradenitis;Vitamin D Deficiency;Hereditary Breast and Ovarian Cancer Syndrome;"
COG5	Chronic Disease;Glomerulonephritis;Scoliosis;Testicular Hydrocele;Pulmonary Embolism;
KLK3	Hyperbilirubinemia;Schizophrenia;
ARPP21	"Aortic Aneurysm;Iron-Refractory Iron Deficiency Anemia;Chronic Disease;Behcet Syndrome;Sleep Apnea Syndromes;""Diabetes Mellitus, Type 2"";Otitis Externa;Amblyopia;Heart Valve Diseases;"
SLC35F1	"Pancytopenia;Thyroid cancer;Iatrogenic Disease;""Aplastic anemia, idiopathic"";"
SLC2A13	Proteinuria;Hearing Loss;Tuberculosis;
UBASH3A	"Intervertebral disc disease;Intervertebral Disc Degeneration;Back Pain;Digestive System Diseases;Tension-Type Headache;Chronic Disease;Anxiety Disorders;Jaw Diseases;Irritable Bowel Syndrome;Hyperventilation;Obsessive-Compulsive Disorder;Celiac Disease;Spondylolisthesis;Mood Disorders;Retinal Detachment;""Depression, Postpartum"";Goiter;Sinusitis;Spondylosis;Sprains and Strains;Hypernatremia;"
MAP2K5	"Sleep Apnea Syndromes;Borderline Personality Disorder;Keratitis;""Larynx, Congenital Partial Atresia of"";Thrombocytopenia;Bundle-Branch Block;Multiple Sclerosis;Cellulitis;Overweight;Periodontitis;Gangrene;Goiter;"
KIAA0319	"Glaucoma, Primary Open Angle;""Glaucoma 1, Open Angle, A"";Pharyngitis;Cardiomegaly;""Lupus Erythematosus, Discoid"";"
RXRG	"Chronic Disease;""Leukemia, Lymphoid"";""Liver Diseases, Alcoholic"";""Abnormalities, Radiation-Induced"";Ventricular Flutter;Osteoporosis;Atherosclerosis;Bronchopneumonia;Sciatica;Cachexia;Alopecia Areata;Multiple Myeloma;Wandering Spleen;Accessory pancreas;"
METTL1	Umbilical cord ulceration and intestinal atresia;Hemoptysis;Fasciitis;Pulmonary Heart Disease;Spinal Cord Diseases;
CLVS1	"Fractures, Stress;Back Pain;Umbilical cord ulceration and intestinal atresia;Orbital Cellulitis;""Pancreatic cancer, adult"";""Intestinal polyposis, osteomas, sebaceous cysts"";Spinal Cord Diseases;"
GLYATL3	Warts;Hematemesis;
DNAH5	"Hypothyroidism;Goiter;""Diabetes Mellitus, Type 3"";Asthma;Familial Acute Myeloid Leukemia with Mutated Cebpa;""Diabetes Mellitus, Type 2"";Diabetes mellitus;"
DNM3	"Linear IgA Bullous Dermatosis;Exophthalmos;Out-of-Hospital Cardiac Arrest;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Endometrial Hyperplasia;Thyroiditis;Hemoptysis;Upper Extremity Deep Vein Thrombosis;Hyperparathyroidism;Corneal Edema;Anxiety Disorders;"
LBH	"Prostatitis;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";""Muscular Dystrophy, Pseudohypertrophic, With Internalized Capillaries"";""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Basal Ganglia Cerebrovascular Disease;Arthralgia;Personality Disorders;Strabismus;Eye Infections;""Glaucoma 1, Open Angle, A"";""Renal Failure, Progressive, with Hypertension"";""Pneumonia, Viral"";Neck Pain;"
ESRRG	"Sleep Apnea Syndromes;Hematuria;Behcet Syndrome;Hypothyroidism;Restless Legs Syndrome;Cystitis;""Keratosis, Seborrheic"";Labyrinthitis;Thrombocytopenia;Postoperative Nausea and Vomiting;Torticollis;"
